OPERATORE,DATA,STATO ATTIVAZIONE,COMUNE,PROVINCIA,ETRS89EST,ETRS89NORD
TELECOM ITALIA MOBILE,2019 March 28,REALIZZATO,LIGNANO SABBIADORO,UD,355024.2,5060735.4
TELECOM ITALIA MOBILE,2017 October 10,REALIZZATO,SAN PIETRO AL NATISONE,UD,386252.09,5111764.35
TELECOM ITALIA MOBILE,2019 August 30,REALIZZATO,CORDOVADO,PN,335702.6,5080533.2
TELECOM ITALIA MOBILE,2019 June 05,REALIZZATO,CERVIGNANO DEL FRIULI,UD,371516.7,5075025.7
TELECOM ITALIA MOBILE,2019 May 15,REALIZZATO,TARVISIO,UD,390412.3,5150762.5
TELECOM ITALIA MOBILE,2019 April 11,REALIZZATO,TOLMEZZO,UD,347473.7,5141051.7
ILIAD ITALIA,2020 March 10,DA REALIZZARE,SAGRADO,GO,383023,5081369
ILIAD ITALIA,2020 November 03,DA REALIZZARE,UDINE,UD,364207.9,5101619.1
ILIAD ITALIA,2020 May 07,REALIZZATO,LATISANA,UD,344430.9,5072338.6
TELECOM ITALIA MOBILE,2017 June 26,REALIZZATO,TRIESTE,TS,404835.5,5055394.7
TELECOM ITALIA MOBILE,2018 May 18,REALIZZATO,LIGNANO SABBIADORO,UD,355092.5,5061100.6
TELECOM ITALIA MOBILE,2019 September 09,REALIZZATO,OSOPPO,UD,352529.3,5123557.5
WIND-TRE,2020 February 18,REALIZZATO,SAN GIORGIO DI NOGARO,UD,360698.5,5077372.6
WIND-TRE,2020 March 06,REALIZZATO,REMANZACCO,UD,368784.1,5104723.1
WIND-TRE,2019 February 12,REALIZZATO,ROMANS D'ISONZO,GO,378727.7,5082073
VODAFONE OMNITEL,2015 May 14,REALIZZATO,SAN CANZIAN D'ISONZO,GO,381000.4,5072359.2
WIND-TRE,2019 February 12,REALIZZATO,RONCHI DEI LEGIONARI,GO,383604.5,5076073.3
WIND-TRE,2020 June 03,REALIZZATO,TRIESTE,TS,402990.5,5059085.3
ILIAD ITALIA,2020 March 06,DA REALIZZARE,ZOPPOLA,PN,325863.3,5090655.8
WIND-TRE,2020 April 10,REALIZZATO,CAMPOFORMIDO,UD,357283.3,5096911.5
ILIAD ITALIA,2020 March 06,DA REALIZZARE,CASARSA DELLA DELIZIA,PN,332629.1,5089626.7
VODAFONE OMNITEL,2020 November 06,DA REALIZZARE,TRIESTE,TS,404794,5053182.6
TELECOM ITALIA MOBILE,2020 October 21,REALIZZATO,TRIESTE,TS,406872,5051772.2
ILIAD ITALIA,2020 March 11,DA REALIZZARE,MORSANO AL TAGLIAMENTO,PN,339351.5,5080935.1
ILIAD ITALIA,2020 February 27,REALIZZATO,CHIONS,PN,322008.2,5079886.6
TELECOM ITALIA MOBILE,2019 October 11,DA REALIZZARE,UDINE,UD,363647.3,5101846.7
ILIAD ITALIA,2019 October 11,DA REALIZZARE,UDINE,UD,363068.9,5103996.7
TELECOM ITALIA MOBILE,2020 March 17,DA REALIZZARE,LIGNANO SABBIADORO,UD,352626.9,5058877.7
TELECOM ITALIA MOBILE,2017 May 30,REALIZZATO,GRADO,GO,375851.3,5059879.6
ILIAD ITALIA,2020 March 12,DA REALIZZARE,CODROIPO,UD,343009.6,5091282.8
TELECOM ITALIA MOBILE,2019 October 18,DA REALIZZARE,MONTEREALE VALCELLINA,PN,317457.7,5112643.4
WIND-TRE,2018 March 01,REALIZZATO,SAN CANZIAN D'ISONZO,GO,379642.6,5074848.5
TELECOM ITALIA MOBILE,2019 May 15,REALIZZATO,LIGNANO SABBIADORO,UD,355722.4,5061817.4
ILIAD ITALIA,2020 March 12,DA REALIZZARE,GRADISCA D'ISONZO,GO,383348.6,5082635.3
WIND-TRE,2018 May 08,REALIZZATO,MONFALCONE,GO,385137.5,5073674.3
WIND-TRE,2018 March 23,REALIZZATO,CORMONS,GO,380903.6,5089329.3
WIND-TRE,2018 March 16,REALIZZATO,MONFALCONE,GO,386898.8,5073552.2
WIND-TRE,2018 April 17,REALIZZATO,MONFALCONE,GO,385043.5,5074391.3
TELECOM ITALIA MOBILE,2020 November 06,DA REALIZZARE,TRIESTE,TS,404794,5053182.6
TELECOM ITALIA MOBILE,2020 August 12,REALIZZATO,SAN DANIELE DEL FRIULI,UD,343182.1,5110910.5
